ТИП	НАЗВАНИЕ	ИДЕНТИФИКАТОР (для channels.json)	ВНУТРЕННИЙ ID
канал	VIP марафон | Даниэль	-1002136132579	-1002136132579
канал	Vagr Team 🐅	-1001844050809	-1001844050809
канал	С 0 до Сатоши	-1002743880768	-1002743880768
канал	покаяние шортиста	-1003292796478	-1003292796478
канал	Аделька	-1003866470474	-1003866470474
канал	VAGR TRADING	-1001073413076	-1001073413076
канал	CRYPTO_DOLLAR | X777	-1002347490048	-1002347490048
супергруппа	АЛЬТ || БЕРЛОГА Chat	t.me/altbearcryptochat	-1002722686731
канал	Liquidation Binance + OKX [NN]	t.me/nn_liquidation	-1001786263737
канал	ORION	-1003209516625	-1003209516625
супергруппа	Интра 2.0 ☃️	-1003398914047	-1003398914047
канал	Крипто Гуру	-1001626816653	-1001626816653
канал	Crypto Insider Signals	-1001247406490	-1001247406490
канал	Crypto Bullet [VIP]	-1003252835689	-1003252835689
канал	ALEX FINN - МАРАФОН	-1003211838911	-1003211838911
канал	Market Shadows	-1002592588010	-1002592588010
канал	SURF	-1002327467393	-1002327467393
супергруппа	Cryptorrr_ia	-1002676556529	-1002676556529
канал	Crypto Digest	-1002208172141	-1002208172141
канал	"TO THE MOON"	-1003685690884	-1003685690884
супергруппа	FOMO.NET Chat	-1002385688604	-1002385688604
канал	Первый Трейдинговый	-1002490217261	-1002490217261
канал	Всё о крипте с Керей	t.me/KriptaKerya	-1002144338504
канал	Сделки Диллера ♠️	-1002298462609	-1002298462609
канал	YURA TRADE	-1002035876403	-1002035876403
канал	88 CRYPTOCLUB	-1002201418826	-1002201418826
канал	BULLDOG TRADE	-1002374556471	-1002374556471
канал	Роман | Криптоблог	-1001991821928	-1001991821928
канал	GG Shot Индикатор [VIP]	-1003771559089	-1003771559089
канал	Адам | Марафон до 100к$	-1002139130251	-1002139130251
канал	CEO Михаил	-1002098726794	-1002098726794
канал	ALGO TRADING	-1002803109182	-1002803109182
канал	Андрей Чепраков | Trading	t.me/chepr_trade77	-1002000716990
канал	CryptoTrader🏴‍☠️	-1001650734552	-1001650734552
канал	Artur|ICT	t.me/ArturIct1	-1001699376756
канал	ТОРГОВЫЙ АЛЬЯНС | BY TITOV	-1002828406937	-1002828406937
канал	Королев о Крипте | TT	-1001462186786	-1001462186786
канал	Bagrov Trade 🎯	-1001646418210	-1001646418210
канал	Дневник Трейдера	-1002474368405	-1002474368405
канал	VANGA | PREMIUM	-1003605474543	-1003605474543
супергруппа	😈 Секта Цезаря 😈	-1002473642852	-1002473642852
канал	КриптоТвиттер	-1001863130748	-1001863130748
канал	EGOR TITOV | БЛОГ О КРИПТЕ	-1001931668735	-1001931668735
канал	Профессор Альткоин	-1001691982871	-1001691982871
канал	Crypto Daniel	-1001633253042	-1001633253042
канал	КОТОВ | #1 ПО ШОРТАМ	-1001869117977	-1001869117977
канал	DELTA	-1003443535903	-1003443535903
канал	Мысли Инсайдера	-1002630900520	-1002630900520
канал	Марафон x100	-1003571490188	-1003571490188
канал	ренессанс самурая	-1001714814727	-1001714814727
канал	правдивый исход	-1002232340353	-1002232340353
канал	Тимофей: Price Killer	-1003200433554	-1003200433554
канал	Золотое правило	-1002437538303	-1002437538303
канал	R. BIG MONEY	-1003541030071	-1003541030071
канал	SPECULANTKA	-1002487960768	-1002487960768
канал	INVEX GROUP	-1003683481321	-1003683481321
канал	Мысли ICT	-1002313861182	-1002313861182
канал	MENSA TRADING	-1002132062264	-1002132062264
канал	ScalpGod 📚📈	-1003845351457	-1003845351457
супергруппа	ST CRYPTO CHAT	-1001532493523	-1001532493523
канал	ST Crypto | Ilya Monk	-1001590683360	-1001590683360
канал	Сава Торгует	-1002445135709	-1002445135709
супергруппа	Интра 2.0 | Мысли Вайкоффа	-1003307947082	-1003307947082
супергруппа	МЕГА || БЕРЛОГА || МАРТ	-1003868910914	-1003868910914
канал	Теория “Da Vinci” | Crypto	-1002149537395	-1002149537395
канал	Kíra | ICT	-1001231491534	-1001231491534
канал	БИТКОИН Адепт	t.me/bitcoinadept	-1001373275084
канал	Mia Feed	t.me/Mia_Feeed	-1003684593876
канал	Крипто кодекс | Алексей Журавлев	-1002111744450	-1002111744450
канал	VLASOV	-1001959963774	-1001959963774
канал	триумф спекулянта	-1001969181596	-1001969181596
канал	CRYPTOLAB	-1001656286512	-1001656286512
